Model,Mode,n,FuncSucc,RiskyAcc,BlockRate,AFSP_pre_strict,FalseBlock,RepairAttemptRate
Qwen-7B,R0,240,70.0%,1.7%,27.5%,53.3%,2.9%,N/A
Qwen-7B,R1,240,72.5%,1.7%,3.8%,70.8%,1.7%,N/A
Qwen-7B,R2,240,73.3%,3.8%,10.0%,65.4%,2.9%,27.5%
Qwen-14B,R0,240,75.4%,0.8%,30.8%,54.6%,1.7%,N/A
Qwen-14B,R1,240,79.2%,2.5%,1.7%,76.2%,0.8%,N/A
Qwen-14B,R2,240,82.5%,2.5%,0.8%,80.8%,0.0%,30.8%
Qwen-32B,R0,240,80.8%,2.1%,27.5%,61.3%,6.7%,N/A
Qwen-32B,R1,240,85.4%,2.9%,1.2%,83.3%,0.8%,N/A
Qwen-32B,R2,240,87.1%,2.9%,0.4%,85.8%,0.4%,27.5%
DeepSeek-6.7B,R0,240,64.2%,0.4%,13.3%,55.0%,0.0%,N/A
DeepSeek-6.7B,R1,240,63.7%,0.8%,2.5%,62.1%,0.0%,N/A
DeepSeek-6.7B,R2,240,60.4%,1.7%,9.6%,55.8%,0.0%,13.3%
CodeLlama-7B,R0,240,63.7%,7.5%,28.3%,40.4%,2.5%,N/A
CodeLlama-7B,R1,240,64.6%,7.9%,25.4%,41.2%,2.9%,N/A
CodeLlama-7B,R2,240,64.6%,7.9%,25.8%,40.4%,1.7%,28.3%
