Model,Mode,n_blocked,StillBlocked,RepairSuccess,FuncSucc,AFSP,FuncRegression,StillRiskyAccepted,ParseFail,Timeout
Qwen-7B,R1,66,13.6%,86.4%,69.7%,63.6%,N/A,0.0%,N/A,N/A
Qwen-7B,R2,66,36.4%,63.6%,72.7%,43.9%,13.6%,7.6%,0.0%,0.0%
Qwen-14B,R1,74,5.4%,94.6%,79.7%,70.3%,N/A,5.4%,N/A,N/A
Qwen-14B,R2,74,2.7%,97.3%,90.5%,85.1%,4.1%,5.4%,0.0%,0.0%
Qwen-32B,R1,66,4.5%,95.5%,83.3%,80.3%,N/A,3.0%,N/A,N/A
Qwen-32B,R2,66,1.5%,98.5%,89.4%,89.4%,4.5%,3.0%,0.0%,0.0%
DeepSeek-6.7B,R1,32,18.8%,81.2%,65.6%,53.1%,N/A,3.1%,N/A,N/A
DeepSeek-6.7B,R2,32,71.9%,28.1%,40.6%,6.2%,31.2%,9.4%,0.0%,0.0%
CodeLlama-7B,R1,71,85.9%,14.1%,67.6%,7.0%,N/A,1.4%,N/A,N/A
CodeLlama-7B,R2,68,91.2%,8.8%,66.2%,0.0%,4.4%,1.5%,0.0%,0.0%
