# pre-strict raw-result expanded-proxy ladder; NOT the manuscript's strict AFSP (see Table IV / results/metrics_v2/table5_baseline_ladder_v2.csv). afsp_pre_strict_proxy uses pre-strict-offline decisions.
model,mode,n,risky_acc,risky_acc_ci_lo,risky_acc_ci_hi,false_block,false_allow,block_rate,afsp_pre_strict_proxy,dir,n_risky,n_false_block,n_blocked
Qwen-7B,B0,240,0.2625,0.2109,0.3216,0.0,0.2625,0.0,0.5625,0.0,63,0,0
Qwen-7B,B1,240,0.1417,0.1032,0.1914,0.0208,0.1417,0.1417,0.5417,0.0208,34,5,34
Qwen-7B,S1_only,240,0.1667,0.1248,0.219,0.0083,0.1667,0.1042,0.5542,0.0083,40,2,25
Qwen-7B,S1_S3,240,0.1417,0.1032,0.1914,0.0208,0.1417,0.1417,0.5417,0.0208,34,5,34
Qwen-7B,B1_resolver,240,0.05,0.0288,0.0853,0.0083,0.05,0.2208,0.5542,0.0083,12,2,53
Qwen-7B,B1_osv,240,0.2375,0.1881,0.2952,0.0125,0.2375,0.0375,0.55,0.0125,57,3,9
Qwen-7B,B2_practical,240,0.025,0.0115,0.0535,0.0208,0.025,0.2583,0.5417,0.0208,6,5,62
Qwen-7B,B2_practical_license,240,0.0167,0.0065,0.0421,0.0208,0.0167,0.2667,0.5417,0.0208,4,5,64
Qwen-7B,S1_S2_S3,240,0.025,0.0115,0.0535,0.0208,0.025,0.2583,0.5417,0.0208,6,5,62
Qwen-7B,block_all_new,240,0.0,,0.0158,0.25,0.0,0.5125,0.3875,0.25,0,60,123
Qwen-7B,B3,240,0.0167,0.0065,0.0421,0.0292,0.0167,0.275,0.5333,0.0292,4,7,66
Qwen-14B,B0,240,0.3,0.2455,0.3608,0.0,0.3,0.0,0.5542,0.0,72,0,0
Qwen-14B,B1,240,0.1792,0.1358,0.2326,0.0,0.1792,0.1208,0.5542,0.0,43,0,29
Qwen-14B,S1_only,240,0.2083,0.1617,0.2641,0.0,0.2083,0.0917,0.5542,0.0,50,0,22
Qwen-14B,S1_S3,240,0.1792,0.1358,0.2326,0.0,0.1792,0.1208,0.5542,0.0,43,0,29
Qwen-14B,B1_resolver,240,0.0542,0.0319,0.0905,0.0167,0.0542,0.2625,0.5458,0.0167,13,4,63
Qwen-14B,B1_osv,240,0.2708,0.2185,0.3303,0.0,0.2708,0.0292,0.5542,0.0,65,0,7
Qwen-14B,B2_practical,240,0.025,0.0115,0.0535,0.0167,0.025,0.2917,0.5458,0.0167,6,4,70
Qwen-14B,B2_practical_license,240,0.0083,0.0023,0.0299,0.0167,0.0083,0.3083,0.5458,0.0167,2,4,74
Qwen-14B,S1_S2_S3,240,0.025,0.0115,0.0535,0.0167,0.025,0.2917,0.5458,0.0167,6,4,70
Qwen-14B,block_all_new,240,0.0,,0.0158,0.3208,0.0,0.6208,0.3208,0.3208,0,77,149
Qwen-14B,B3,240,0.0083,0.0023,0.0299,0.0167,0.0083,0.3083,0.5458,0.0167,2,4,74
