PR#,guard_category,agent,created_at,n_deps,primary_labels,flagged_pkgs,auto_flag,V1_manifest_change,V2_pypi_public,V3_temporal_ok,V4_pr_merged,V5_runtime_dep,V6_confirmed_risk,V7_notes,pr_url
1,GAP_ONLY,aider,2025-08-14,9,,,,,,,,,,,https://github.com/vk4s/aider/pull/9
2,GAP_ONLY,aider,2025-10-14,6,,,,,,,,,,,https://github.com/akepo225/offline-coding-agent/pull/14
3,TRUE_NEG,aider,2026-05-12,0,,,,,,,,,,,https://github.com/Quitcode-Dev/project-automatron-vmark/pull/1
4,GAP_ONLY,aider,2026-05-05,1,,,,,,,,,,,https://github.com/jnavarro7/netlist-parser/pull/1
5,TRUE_NEG,aider,2026-05-20,0,,,,,,,,,,,https://github.com/izzoa/unison-mcp-server/pull/4
6,GAP_ONLY,aider,2026-05-23,5,,,,,,,,,,,https://github.com/techempower-org/mempalace/pull/156
7,PRIMARY,aider,2026-05-20,3,package_nonexistent,"description, name","SUSPICIOUS_PKG:description,name",,,,,,,,https://github.com/Doomlead/aider-plus/pull/167
8,PRIMARY,aider,2026-05-22,1,package_nonexistent,description,SUSPICIOUS_PKG:description,,,,,,,,https://github.com/AmberCowled/probably-fine/pull/1
9,GAP_ONLY,devin,2026-05-23,1,,,,,,,,,,,https://github.com/squalliram/flask/pull/1
10,GAP_ONLY,devin,2026-05-23,3,,,,,,,,,,,https://github.com/aaronsmothhh-create/AiVideoMonitoring/pull/1
11,TRUE_NEG,devin,2026-05-23,0,,,,,,,,,,,https://github.com/deblasioluca/sap-ai-consultant-v2/pull/30
12,PRIMARY,devin,2026-05-10,9,package_nonexistent,"build_backend, description, name, requires_python","SUSPICIOUS_PKG:build_backend,description,name,requires_python",,,,,,,,https://github.com/botanarede/beddel/pull/3
13,PRIMARY,devin,2026-04-13,6,package_nonexistent,"agent_manager.py, line_length, per_file_ignores, profile, target_version, wee_cl","SUSPICIOUS_PKG:line_length,per_file_ignores,profile",,,,,,,,https://github.com/leprachuan/Wee-Orchestrator/pull/152
14,PRIMARY,devin,2026-05-02,4,package_nonexistent,description,SUSPICIOUS_PKG:description,,,,,,,,https://github.com/hikhikhook-code/sn-image-screener/pull/2
15,GAP_ONLY,devin,2026-05-18,1,,,,,,,,,,,https://github.com/saml7n/parbaked/pull/197
16,PRIMARY,devin,2026-03-13,2,package_nonexistent,"addopts, voidwright_graph_expansion",SUSPICIOUS_PKG:addopts,,,,,,,,https://github.com/0neye/Voidwright/pull/6
17,TRUE_NEG,devin,2026-05-18,0,,,,,,,,,,,https://github.com/saml7n/parbaked/pull/160
18,PRIMARY,devin,2021-12-06,1,package_nonexistent,fiscal_year_details,TEMPORAL_RISK,,,,,,,,https://github.com/fproldan/erpnext/pull/37
19,PRIMARY,devin,2020-08-01,50,package_nonexistent,"adminlist, author, author_email, channelmgnt, classifiers, console_scripts, desc","SUSPICIOUS_PKG:classifiers,description,dev_requirements,history,import,long_description_content_type,name TEMPORAL_RISK",,,,,,,,https://github.com/FOSSBots/MirahezeBots/pull/243
20,GAP_ONLY,devin,2020-03-03,1,,,,,,,,,,,https://github.com/GatorCogitate/cogitate_tool/pull/62
21,GAP_ONLY,cursor,2026-05-02,2,,,,,,,,,,,https://github.com/yourplane/dev/pull/80
