mode,family,n,blocked,recall
B0,S1,20,0,0.0
B0,S2,12,0,0.0
B0,S3,20,0,0.0
B1_scanner,S1,20,0,0.0
B1_scanner,S2,12,0,0.0
B1_scanner,S3,20,16,0.8
S1_only,S1,20,20,1.0
S1_only,S2,12,0,0.0
S1_only,S3,20,0,0.0
S1_S2_S3,S1,20,20,1.0
S1_S2_S3,S2,12,12,1.0
S1_S2_S3,S3,20,19,0.95
B3,S1,20,20,1.0
B3,S2,12,12,1.0
B3,S3,20,19,0.95
pip_audit_no_deps_vuln_only,S1,20,0,0.0
pip_audit_no_deps_vuln_only,S2,12,0,0.0
pip_audit_no_deps_vuln_only,S3,20,16,0.8
pip_audit_no_deps_fail_closed,S1,20,20,1.0
pip_audit_no_deps_fail_closed,S2,12,12,1.0
pip_audit_no_deps_fail_closed,S3,20,20,1.0
