change_id,package,version,pr_time,old_label,new_label,verdict,covering_cve_prePR
samstill/company_management_backend#1::requirements.txt::pillow::version_change,pillow,12.2.0,2026-05-29T07:51:41Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
motanova84/Riemann-adelic#2748::requirements-lock.txt::pillow::version_change,pillow,12.1.1,2026-03-16T21:32:19Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
DevRexxxx/Music_Player#10::requirements.txt::pillow::add,Pillow,10.4.0,2025-12-30T18:38:16Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cryptography::add,cryptography,46.0.7,2026-04-22T21:16:54Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::pillow::add,pillow,12.2.0,2026-04-22T21:16:54Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
btygd543/Telegroub-#6::requirements.txt::pillow::add,pillow,12.1.1,2026-04-02T08:17:25Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::cryptography::add,cryptography,46.0.5,2026-03-15T16:02:45Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pillow::add,pillow,12.1.1,2026-03-15T16:02:45Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
sohamda/aks-store-demo#77::src/ai-service/requirements.txt::pillow::version_change,pillow,12.2.0,2026-04-16T07:37:42Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
reciclaplus/reciclapp#104::fast_api/requirements.txt::cryptography::add,cryptography,46.0.6,2026-04-06T14:26:12Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
sonaiso/sanadcom#48::src/backend/requirements.txt::cryptography::version_change,cryptography,46.0.5,2026-02-24T11:07:15Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
diegosnchz/SpotifyWrapped#20::spotify_pipeline/requirements.txt::apache-airflow::version_change,apache-airflow,3.2.0,2026-04-16T11:45:13Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/requirements.txt::pillow::add,Pillow,12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v1_sample_app/requirements.txt::pillow::add,Pillow,12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v2_sample_app/requirements.txt::pillow::add,Pillow,12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v3_sample_app/requirements.txt::pillow::add,Pillow,12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
sohamda/aks-store-demo#106::src/ai-service/requirements.txt::pillow::version_change,pillow,12.2.0,2026-05-27T09:11:15Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
0ai-Cyberviser/oss-fuzz#71::infra/build/functions/requirements.txt::brotli::version_change,Brotli,1.2.0,2026-04-22T19:31:58Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
ParanKafleUTS/FinalB#1::requirements.txt::pillow::add,Pillow,12.2.0,2026-05-03T19:10:14Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
CADS-GmbH/CodePreviewProject#1::squish-mcp/requirements.txt::click::add,click,8.1.7,2026-05-20T07:20:51Z,NONE,P3_DIRECT_KNOWN_VULNERABILITY,FN,CVE-2026-7246
muka-dev/cosinnus-core#1::pyproject.toml::pillow::add,Pillow,10.3.0,2025-11-20T23:17:24Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
aio-it/mmchatgpt#99::requirements.txt::brotli::version_change,brotli,1.2.0,2026-04-13T07:22:03Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
aio-it/mmchatgpt#99::requirements.txt::pillow::version_change,pillow,12.2.0,2026-04-13T07:22:03Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
aio-it/mmchatgpt#92::requirements.txt::pillow::version_change,pillow,12.1.1,2026-04-13T06:54:45Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Ranveersingh1113/Bharat-Biz-Agent#3::backend/requirements.txt::cryptography::version_change,cryptography,46.0.4,2026-02-06T17:18:12Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Ranveersingh1113/Bharat-Biz-Agent#3::requirements.txt::cryptography::version_change,cryptography,46.0.4,2026-02-06T17:18:12Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
