change_id,package,version,pr_time,current,det_covering_prePR,det_covering_any,det_p3,verdict
ssk525/agentic-research-assistant#3::requirements.txt::sqlalchemy::version_change,sqlalchemy,2.0.35,2026-06-09T05:34:07Z,NONE,,,False,same
donny-devops/fastapi-starter-kit#4::requirements.txt::itsdangerous::add,itsdangerous,2.2.0,2026-06-08T11:21:05Z,NONE,,,False,same
samstill/company_management_backend#1::requirements.txt::asgiref::version_change,asgiref,3.11.1,2026-05-29T07:51:41Z,NONE,,,False,same
samstill/company_management_backend#1::requirements.txt::django::version_change,Django,5.1.15,2026-05-29T07:51:41Z,NONE,,,False,same
samstill/company_management_backend#1::requirements.txt::djangorestframework::version_change,djangorestframework,3.17.1,2026-05-29T07:51:41Z,NONE,,,False,same
samstill/company_management_backend#1::requirements.txt::djangorestframework-simplejwt::version_change,djangorestframework-simplejwt,5.5.1,2026-05-29T07:51:41Z,NONE,,,False,same
samstill/company_management_backend#1::requirements.txt::pillow::version_change,pillow,12.2.0,2026-05-29T07:51:41Z,P3_DIRECT_KNOWN_VULNERABILITY,,PYSEC-2026-2253;PYSEC-2026-2254;PYSEC-2026-2255,False,FP(P3->NONE)
samstill/company_management_backend#1::requirements.txt::pyjwt::version_change,PyJWT,2.12.0,2026-05-29T07:51:41Z,P3_DIRECT_KNOWN_VULNERABILITY,PYSEC-2026-175;PYSEC-2026-176;PYSEC-2026-177,GHSA-993g-76c3-p5m4;GHSA-fhv5-28vv-h8m8;GHSA-jq35-7prp-9v3f,True,same
samstill/company_management_backend#1::requirements.txt::sqlparse::version_change,sqlparse,0.5.4,2026-05-29T07:51:41Z,NONE,,,False,same
ssk525/agentic-research-assistant#4::requirements.txt::sqlalchemy::version_change,sqlalchemy,2.0.35,2026-06-09T06:14:44Z,NONE,,,False,same
ssk525/agentic-research-assistant#1::requirements.txt::sqlalchemy::version_change,sqlalchemy,2.0.35,2026-06-08T18:16:42Z,NONE,,,False,same
atze1210/nimbus-eth2#52::ncli/requirements.txt::zipp::add,zipp,3.19.2,2026-05-25T05:35:27Z,NONE,,,False,same
bharath1997-crypto/group-travel-os#9::requirements.txt::grpcio::version_change,grpcio,1.71.2,2026-05-09T20:11:14Z,NONE,,,False,same
bharath1997-crypto/group-travel-os#9::requirements.txt::grpcio-status::version_change,grpcio-status,1.71.2,2026-05-09T20:11:14Z,NONE,,,False,same
ssk525/agentic-research-assistant#2::requirements.txt::sqlalchemy::version_change,sqlalchemy,2.0.35,2026-06-08T18:28:23Z,NONE,,,False,same
atze1210/nimbus-eth2#53::ncli/requirements.txt::zipp::add,zipp,3.19.2,2026-05-25T10:43:01Z,NONE,,,False,same
btygd543/Telegroub-#4::requirements.txt::dnspython::add,dnspython,2.6.1,2026-04-02T07:56:29Z,NONE,,,False,same
btygd543/Telegroub-#4::requirements.txt::kurigram::add,kurigram,2.2.12,2026-04-02T07:56:29Z,NONE,,,False,same
Kim-254-de/SMARTTT_BACKEND#1::requirements.txt::python-dateutil::add,python-dateutil,2.9.0.post0,2026-06-04T12:42:50Z,NONE,,,False,same
Kim-254-de/SMARTTT_BACKEND#1::requirements.txt::sqlparse::add,sqlparse,0.5.5,2026-06-04T12:42:50Z,NONE,,,False,same
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::mlflow::version_change,mlflow,1.26.1,2026-06-08T06:24:58Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-3v79-q7ph-j75h;GHSA-42h5-h8qh-vv9v;GHSA-43c4-9qgj-x742,GHSA-3v79-q7ph-j75h;GHSA-42h5-h8qh-vv9v;GHSA-43c4-9qgj-x742,True,same
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::numpy::add,numpy,1.23.5,2026-06-08T06:24:58Z,NONE,,,False,same
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::scipy::add,scipy,1.9.3,2026-06-08T06:24:58Z,P3_DIRECT_KNOWN_VULNERABILITY,PYSEC-2023-102,PYSEC-2023-102,True,same
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::faster-whisper::version_change,faster-whisper,1.2.1,2026-05-13T02:06:54Z,NONE,,,False,same
