model,mode,n,n_accepted,n_generated_safe,generated_func_succ,generated_safe_rate,accepted_rate,afsp_all,afsp_among_accepted,risky_accepted_rate_all,risky_accepted_rate_among_accepted,false_block_rate_all,false_block_rate_among_safe,block_rate
CodeLlama-7b-Instruct-hf,B0,240,240,160,0.6375,0.6666666666666666,1.0,0.425,0.425,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
CodeLlama-7b-Instruct-hf,B1_scanner,240,240,160,0.6375,0.6666666666666666,1.0,0.425,0.425,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
CodeLlama-7b-Instruct-hf,B2,240,183,160,0.6375,0.6666666666666666,0.7625,0.3958333333333333,0.5191256830601093,0.13333333333333333,0.17486338797814208,0.0375,0.05625,0.2375
CodeLlama-7b-Instruct-hf,B3,240,160,160,0.6375,0.6666666666666666,0.6666666666666666,0.36666666666666664,0.55,0.075,0.1125,0.075,0.1125,0.3333333333333333
Qwen2.5-Coder-14B-Instruct-AWQ,B0,240,240,168,0.7541666666666667,0.7,1.0,0.5541666666666667,0.5541666666666667,0.3,0.3,0.0,0.0,0.0
Qwen2.5-Coder-14B-Instruct-AWQ,B1_scanner,240,240,168,0.7541666666666667,0.7,1.0,0.5541666666666667,0.5541666666666667,0.3,0.3,0.0,0.0,0.0
Qwen2.5-Coder-14B-Instruct-AWQ,B2,240,207,168,0.7541666666666667,0.7,0.8625,0.5541666666666667,0.642512077294686,0.1625,0.18840579710144928,0.0,0.0,0.1375
Qwen2.5-Coder-14B-Instruct-AWQ,B3,240,165,168,0.7541666666666667,0.7,0.6875,0.5416666666666666,0.7878787878787878,0.008333333333333333,0.012121212121212121,0.020833333333333332,0.02976190476190476,0.3125
Qwen2.5-Coder-32B-Instruct-AWQ,B0,240,240,185,0.8083333333333333,0.7708333333333334,1.0,0.6458333333333334,0.6458333333333334,0.22916666666666666,0.22916666666666666,0.0,0.0,0.0
Qwen2.5-Coder-32B-Instruct-AWQ,B1_scanner,240,240,185,0.8083333333333333,0.7708333333333334,1.0,0.6458333333333334,0.6458333333333334,0.22916666666666666,0.22916666666666666,0.0,0.0,0.0
Qwen2.5-Coder-32B-Instruct-AWQ,B2,240,206,185,0.8083333333333333,0.7708333333333334,0.8583333333333333,0.6333333333333333,0.7378640776699029,0.11666666666666667,0.13592233009708737,0.029166666666666667,0.03783783783783784,0.14166666666666666
Qwen2.5-Coder-32B-Instruct-AWQ,B3,240,172,185,0.8083333333333333,0.7708333333333334,0.7166666666666667,0.6083333333333333,0.8488372093023255,0.020833333333333332,0.029069767441860465,0.075,0.0972972972972973,0.2833333333333333
Qwen2.5-Coder-7B-Instruct,B0,240,240,177,0.7,0.7375,1.0,0.5625,0.5625,0.2625,0.2625,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,B1_scanner,240,240,177,0.7,0.7375,1.0,0.5625,0.5625,0.2625,0.2625,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,B2,240,204,177,0.7,0.7375,0.85,0.5416666666666666,0.6372549019607843,0.13333333333333333,0.1568627450980392,0.020833333333333332,0.02824858757062147,0.15
Qwen2.5-Coder-7B-Instruct,B3,240,171,177,0.7,0.7375,0.7125,0.5208333333333334,0.7309941520467836,0.016666666666666666,0.023391812865497075,0.041666666666666664,0.05649717514124294,0.2875
deepseek-coder-6.7b-instruct,B0,240,240,207,0.6416666666666667,0.8625,1.0,0.55,0.55,0.1375,0.1375,0.0,0.0,0.0
deepseek-coder-6.7b-instruct,B1_scanner,240,240,207,0.6416666666666667,0.8625,1.0,0.55,0.55,0.1375,0.1375,0.0,0.0,0.0
deepseek-coder-6.7b-instruct,B2,240,220,207,0.6416666666666667,0.8625,0.9166666666666666,0.5375,0.5863636363636363,0.07083333333333333,0.07727272727272727,0.016666666666666666,0.01932367149758454,0.08333333333333333
deepseek-coder-6.7b-instruct,B3,240,204,207,0.6416666666666667,0.8625,0.85,0.5375,0.6323529411764706,0.004166666666666667,0.004901960784313725,0.016666666666666666,0.01932367149758454,0.15
pooled,B0,1200,1200,897,0.7083333333333334,0.7475,1.0,0.5475,0.5475,0.2525,0.2525,0.0,0.0,0.0
pooled,B1_scanner,1200,1200,897,0.7083333333333334,0.7475,1.0,0.5475,0.5475,0.2525,0.2525,0.0,0.0,0.0
pooled,B2,1200,1020,897,0.7083333333333334,0.7475,0.85,0.5325,0.6264705882352941,0.12333333333333334,0.1450980392156863,0.020833333333333332,0.027870680044593088,0.15
pooled,B3,1200,872,897,0.7083333333333334,0.7475,0.7266666666666667,0.515,0.7087155963302753,0.025,0.034403669724770644,0.04583333333333333,0.06131549609810479,0.2733333333333333
