model,mode,n,risky_accepted_rate_all,afsp_all,false_block_rate_all,block_rate
pooled,B0,1200,0.2525,0.5475,0.0,0.0
pooled,B1_scanner,1200,0.2525,0.5475,0.0,0.0
pooled,S1_only,1200,0.1575,0.5375,0.0133,0.1083
pooled,S1_S2,1200,0.06,0.5242,0.0342,0.2267
pooled,S1_S3,1200,0.1333,0.5325,0.0208,0.14
pooled,S1_S2_S3,1200,0.0358,0.5192,0.0417,0.2583
pooled,B2,1200,0.1233,0.5325,0.0208,0.15
pooled,B3,1200,0.025,0.515,0.0458,0.2733
CodeLlama-7b-Instruct-hf,B0,240,0.3333,0.425,0.0,0.0
CodeLlama-7b-Instruct-hf,B1_scanner,240,0.3333,0.425,0.0,0.0
CodeLlama-7b-Instruct-hf,S1_only,240,0.15,0.3958,0.0375,0.2208
CodeLlama-7b-Instruct-hf,S1_S2,240,0.0917,0.3792,0.0625,0.3042
CodeLlama-7b-Instruct-hf,S1_S3,240,0.1375,0.3958,0.0375,0.2333
CodeLlama-7b-Instruct-hf,S1_S2_S3,240,0.0792,0.3792,0.0625,0.3167
CodeLlama-7b-Instruct-hf,B2,240,0.1333,0.3958,0.0375,0.2375
CodeLlama-7b-Instruct-hf,B3,240,0.075,0.3667,0.075,0.3333
Qwen2.5-Coder-14B-Instruct-AWQ,B0,240,0.3,0.5542,0.0,0.0
Qwen2.5-Coder-14B-Instruct-AWQ,B1_scanner,240,0.3,0.5542,0.0,0.0
Qwen2.5-Coder-14B-Instruct-AWQ,S1_only,240,0.2083,0.5542,0.0,0.0917
Qwen2.5-Coder-14B-Instruct-AWQ,S1_S2,240,0.0542,0.5417,0.0208,0.2667
Qwen2.5-Coder-14B-Instruct-AWQ,S1_S3,240,0.1792,0.5542,0.0,0.1208
Qwen2.5-Coder-14B-Instruct-AWQ,S1_S2_S3,240,0.025,0.5417,0.0208,0.2958
Qwen2.5-Coder-14B-Instruct-AWQ,B2,240,0.1625,0.5542,0.0,0.1375
Qwen2.5-Coder-14B-Instruct-AWQ,B3,240,0.0083,0.5417,0.0208,0.3125
Qwen2.5-Coder-32B-Instruct-AWQ,B0,240,0.2292,0.6458,0.0,0.0
Qwen2.5-Coder-32B-Instruct-AWQ,B1_scanner,240,0.2292,0.6458,0.0,0.0
Qwen2.5-Coder-32B-Instruct-AWQ,S1_only,240,0.1625,0.6458,0.0042,0.0708
Qwen2.5-Coder-32B-Instruct-AWQ,S1_S2,240,0.0667,0.6208,0.05,0.2125
Qwen2.5-Coder-32B-Instruct-AWQ,S1_S3,240,0.1292,0.6333,0.0292,0.1292
Qwen2.5-Coder-32B-Instruct-AWQ,S1_S2_S3,240,0.0333,0.6083,0.075,0.2708
Qwen2.5-Coder-32B-Instruct-AWQ,B2,240,0.1167,0.6333,0.0292,0.1417
Qwen2.5-Coder-32B-Instruct-AWQ,B3,240,0.0208,0.6083,0.075,0.2833
Qwen2.5-Coder-7B-Instruct,B0,240,0.2625,0.5625,0.0,0.0
Qwen2.5-Coder-7B-Instruct,B1_scanner,240,0.2625,0.5625,0.0,0.0
Qwen2.5-Coder-7B-Instruct,S1_only,240,0.1667,0.5542,0.0083,0.1042
Qwen2.5-Coder-7B-Instruct,S1_S2,240,0.05,0.5417,0.0208,0.2333
Qwen2.5-Coder-7B-Instruct,S1_S3,240,0.1417,0.5417,0.0208,0.1417
Qwen2.5-Coder-7B-Instruct,S1_S2_S3,240,0.025,0.5292,0.0333,0.2708
Qwen2.5-Coder-7B-Instruct,B2,240,0.1333,0.5417,0.0208,0.15
Qwen2.5-Coder-7B-Instruct,B3,240,0.0167,0.5208,0.0417,0.2875
deepseek-coder-6.7b-instruct,B0,240,0.1375,0.55,0.0,0.0
deepseek-coder-6.7b-instruct,B1_scanner,240,0.1375,0.55,0.0,0.0
deepseek-coder-6.7b-instruct,S1_only,240,0.1,0.5375,0.0167,0.0542
deepseek-coder-6.7b-instruct,S1_S2,240,0.0375,0.5375,0.0167,0.1167
deepseek-coder-6.7b-instruct,S1_S3,240,0.0792,0.5375,0.0167,0.075
deepseek-coder-6.7b-instruct,S1_S2_S3,240,0.0167,0.5375,0.0167,0.1375
deepseek-coder-6.7b-instruct,B2,240,0.0708,0.5375,0.0167,0.0833
deepseek-coder-6.7b-instruct,B3,240,0.0042,0.5375,0.0167,0.15
