task_id,cond,model,run_dir,dropped_pkgs,old_added,new_added,B0_risky_old,B0_risky_new,B3_risky_old,B3_risky_new
task_F1_014,G1,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G1_48b27d9f,import,import,(none),False,False,False,False
task_F1_014,G1,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G1_s1_894b49d0,import,import,(none),False,False,False,False
task_F1_015,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_100774ab,import,import,(none),False,False,False,False
task_F1_015,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_478be00e,import,import,(none),False,False,False,False
task_F1_015,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_s1_e57c42b3,import,import,(none),False,False,False,False
task_F1_016,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_1bc7895a,import,import,(none),False,False,False,False
task_F1_016,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_s1_f7e55af7,import,import,(none),False,False,False,False
task_F1_019,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_7b0d656b,import,import,(none),False,False,False,False
task_F1_020,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_fda3d78b,import,import,(none),False,False,False,False
task_F1_020,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_s1_954b4a14,import,import,(none),False,False,False,False
task_F3_018,G1,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G1_mr3_e262f241,"ansible_runner,def,import,inventory,playbook,return","ansible,import,def,ansible_runner,playbook,inventory,return",ansible,False,False,False,False
task_F3_018,G1,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G1_s1_e0445094,"command,def,f.write,import,inventory_file,os.makedirs,os.remove,os.rmdir,result,return,temp_dir,with","ansible,pyyaml,import,def,temp_dir,os.makedirs,inventory_file,with,f.write,command,result,os.remove,os.rmdir,return","ansible,pyyaml",True,False,False,False
task_F5_016,G1,DeepSeek-6.7B,deepseek-coder-6.7b-instruct_G1_mr3_eb0de941,"the,therefore","torchvision,the,therefore",torchvision,False,False,False,False
task_F6_012,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_05365c3d,import,import,(none),True,False,False,False
task_F6_012,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_s1_00a4e8ed,import,import,(none),True,False,True,False
task_F6_016,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_4379dee6,import,import,(none),True,False,True,False
task_F6_016,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_0f095bcb,import,import,(none),True,False,False,False
task_F6_017,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_47d37bfe,import,import,(none),True,False,False,False
task_F6_020,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_5cb735ec,import,import,(none),True,False,True,False
task_F6_020,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_mr3_15686d5b,import,import,(none),True,False,False,False
task_F6_020,G0,CodeLlama-7B,CodeLlama-7b-Instruct-hf_G0_s1_7ecc2f16,import,import,(none),True,False,True,False
