model,family,k,n,rate,ci_lo,ci_hi
Qwen-7B,F1,8,40,0.2,0.105,0.3476
Qwen-7B,F2,14,40,0.35,0.2213,0.5049
Qwen-7B,F3,9,40,0.225,0.1232,0.375
Qwen-7B,F4,10,40,0.25,0.1419,0.4019
Qwen-7B,F5,20,40,0.5,0.352,0.648
Qwen-7B,F6,2,40,0.05,0.0138,0.165
Qwen-7B,Overall,63,240,0.2625,0.2109,0.3216
Qwen-14B,F1,5,40,0.125,0.0546,0.2611
Qwen-14B,F2,18,40,0.45,0.3071,0.6017
Qwen-14B,F3,20,40,0.5,0.352,0.648
Qwen-14B,F4,11,40,0.275,0.1611,0.4284
Qwen-14B,F5,15,40,0.375,0.2422,0.5297
Qwen-14B,F6,3,40,0.075,0.0258,0.1986
Qwen-14B,Overall,72,240,0.3,0.2455,0.3608
Qwen-32B,F1,5,40,0.125,0.0546,0.2611
Qwen-32B,F2,12,40,0.3,0.1807,0.4543
Qwen-32B,F3,16,40,0.4,0.2635,0.554
Qwen-32B,F4,6,40,0.15,0.0706,0.2907
Qwen-32B,F5,12,40,0.3,0.1807,0.4543
Qwen-32B,F6,4,40,0.1,0.0396,0.2305
Qwen-32B,Overall,55,240,0.2292,0.1805,0.2864
DeepSeek-6.7B,F1,3,40,0.075,0.0258,0.1986
DeepSeek-6.7B,F2,5,40,0.125,0.0546,0.2611
DeepSeek-6.7B,F3,11,40,0.275,0.1611,0.4284
DeepSeek-6.7B,F4,3,40,0.075,0.0258,0.1986
DeepSeek-6.7B,F5,9,40,0.225,0.1232,0.375
DeepSeek-6.7B,F6,2,40,0.05,0.0138,0.165
DeepSeek-6.7B,Overall,33,240,0.1375,0.0996,0.1868
CodeLlama-7B,F1,14,40,0.35,0.2213,0.5049
CodeLlama-7B,F2,6,40,0.15,0.0706,0.2907
CodeLlama-7B,F3,18,40,0.45,0.3071,0.6017
CodeLlama-7B,F4,12,40,0.3,0.1807,0.4543
CodeLlama-7B,F5,6,40,0.15,0.0706,0.2907
CodeLlama-7B,F6,24,40,0.6,0.446,0.7365
CodeLlama-7B,Overall,80,240,0.3333,0.2767,0.3952
