model,cond,n,func_succ,safety_core,safety_all,risky_acc,p_value,b,c,delta_sp
Qwen-7B,G0,120,0.7,0.6917,0.6917,0.0167,,,,
Qwen-7B,G1,120,0.7,0.7833,0.7833,0.0167,,,,
Qwen-7B,McNemar,120,,,,,0.0034,1,12,9.17
Qwen-14B,G0,120,0.7417,0.6667,0.65,0.0083,,,,
Qwen-14B,G1,120,0.7667,0.7333,0.7167,0.0083,,,,
Qwen-14B,McNemar,120,,,,,0.0574,3,11,6.67
Qwen-32B,G0,120,0.8,0.7667,0.75,0.025,,,,
Qwen-32B,G1,120,0.8167,0.775,0.7667,0.0167,,,,
Qwen-32B,McNemar,120,,,,,1.0,6,7,0.83
DeepSeek-6.7B,G0,120,0.65,0.9167,0.9167,0.0,,,,
DeepSeek-6.7B,G1,120,0.6333,0.8083,0.7833,0.0083,,,,
DeepSeek-6.7B,McNemar,120,,,,,0.0023,15,2,-10.83
CodeLlama-7B,G0,120,0.6333,0.6917,0.675,0.0583,,,,
CodeLlama-7B,G1,120,0.6417,0.6417,0.6333,0.0917,,,,
CodeLlama-7B,McNemar,120,,,,,0.3616,18,12,-5.0
