model,mode,n,func_succ,safety_core,risky_acc,false_block,false_allow,block_rate,afsp,dir,p_value,odds_ratio
Qwen-7B,B0,240,0.7,0.7375,0.2625,0.0,0.2625,0.0,0.5625,0.0,,
Qwen-7B,B3,240,0.7,0.7375,0.0167,0.0417,0.0167,0.2875,0.5208,0.0417,,
Qwen-7B,R1,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Qwen-7B,B0vsB3_McNemar,240,,,,,,,,,3.469446951953614e-18,21.0
Qwen-14B,B0,240,0.7542,0.7,0.3,0.0,0.3,0.0,0.5542,0.0,,
Qwen-14B,B3,240,0.7542,0.7,0.0083,0.0208,0.0083,0.3125,0.5417,0.0208,,
Qwen-14B,R1,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Qwen-14B,B0vsB3_McNemar,240,,,,,,,,,1.6940658945086007e-21,51.0
Qwen-32B,B0,240,0.8083,0.7708,0.2292,0.0,0.2292,0.0,0.6458,0.0,,
Qwen-32B,B3,240,0.8083,0.7708,0.0208,0.075,0.0208,0.2833,0.6083,0.075,,
Qwen-32B,R1,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Qwen-32B,B0vsB3_McNemar,240,,,,,,,,,1.7763568394002505e-15,14.0
DeepSeek-6.7B,B0,240,0.6417,0.8625,0.1375,0.0,0.1375,0.0,0.55,0.0,,
DeepSeek-6.7B,B3,240,0.6417,0.8625,0.0042,0.0167,0.0042,0.15,0.5375,0.0167,,
DeepSeek-6.7B,R1,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DeepSeek-6.7B,B0vsB3_McNemar,240,,,,,,,,,4.656612873077393e-10,38.1
CodeLlama-7B,B0,240,0.6375,0.6667,0.3333,0.0,0.3333,0.0,0.425,0.0,,
CodeLlama-7B,B3,240,0.6375,0.6667,0.075,0.075,0.075,0.3333,0.3667,0.075,,
CodeLlama-7B,R1,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CodeLlama-7B,B0vsB3_McNemar,240,,,,,,,,,4.336808689942018e-19,6.2
