model,mode,n,RiskyAcc,BlockRate,DIR,n_risky,n_blocked,n_false_block
CodeLlama-7B,B0,240,0.3333,0.0,0.0,80,0,0
CodeLlama-7B,B1_scanner,240,0.3333,0.0,0.0,80,0,0
CodeLlama-7B,B2_scanner,240,0.3333,0.0208,0.0208,80,5,5
CodeLlama-7B,S1_S3,240,0.1375,0.2,0.0042,33,48,1
CodeLlama-7B,S1_S2_S3,240,0.0792,0.2667,0.0125,19,64,3
CodeLlama-7B,B3,240,0.075,0.2833,0.025,18,68,6
DeepSeek-6.7B,B0,240,0.1375,0.0,0.0,33,0,0
DeepSeek-6.7B,B1_scanner,240,0.1375,0.0,0.0,33,0,0
DeepSeek-6.7B,B2_scanner,240,0.1375,0.0083,0.0083,33,2,2
DeepSeek-6.7B,S1_S3,240,0.0792,0.0583,0.0,19,14,0
DeepSeek-6.7B,S1_S2_S3,240,0.0167,0.1208,0.0,4,29,0
DeepSeek-6.7B,B3,240,0.0042,0.1333,0.0,1,32,0
Qwen-14B,B0,240,0.3,0.0,0.0,72,0,0
Qwen-14B,B1_scanner,240,0.3,0.0,0.0,72,0,0
Qwen-14B,B2_scanner,240,0.3,0.0042,0.0042,72,1,1
Qwen-14B,S1_S3,240,0.1792,0.1208,0.0,43,29,0
Qwen-14B,S1_S2_S3,240,0.025,0.2917,0.0167,6,70,4
Qwen-14B,B3,240,0.0083,0.3083,0.0167,2,74,4
Qwen-32B,B0,240,0.2292,0.0,0.0,55,0,0
Qwen-32B,B1_scanner,240,0.2292,0.0,0.0,55,0,0
Qwen-32B,B2_scanner,240,0.2292,0.0,0.0,55,0,0
Qwen-32B,S1_S3,240,0.1292,0.1292,0.0292,31,31,7
Qwen-32B,S1_S2_S3,240,0.0333,0.2625,0.0667,8,63,16
Qwen-32B,B3,240,0.0208,0.275,0.0667,5,66,16
Qwen-7B,B0,240,0.2625,0.0,0.0,63,0,0
Qwen-7B,B1_scanner,240,0.2625,0.0,0.0,63,0,0
Qwen-7B,B2_scanner,240,0.2625,0.0042,0.0042,63,1,1
Qwen-7B,S1_S3,240,0.1417,0.1417,0.0208,34,34,5
Qwen-7B,S1_S2_S3,240,0.025,0.2583,0.0208,6,62,5
Qwen-7B,B3,240,0.0167,0.275,0.0292,4,66,7
