change_id,repo,agent,package,pinned_version,secondary_label,fired_stages_B3
3rdIteration/keycard-cli#1::python/pyproject.toml::pyscard::add,3rdIteration/keycard-cli,copilot,pyscard,,S4_LICENSE_POLICY_CONFLICT,S5
3rdIteration/keycard-cli#1::python/requirements.txt::pyscard::add,3rdIteration/keycard-cli,copilot,pyscard,,S4_LICENSE_POLICY_CONFLICT,S5
DevRexxxx/Music_Player#10::requirements.txt::mysqlclient::add,DevRexxxx/Music_Player,copilot,mysqlclient,2.2.7,S4_LICENSE_POLICY_CONFLICT,S5
DevRexxxx/Music_Player#10::requirements.txt::psycopg2-binary::add,DevRexxxx/Music_Player,copilot,psycopg2-binary,2.9.10,S4_LICENSE_POLICY_CONFLICT,S5
dotkaio/pose-tracking-3d#3::requirements.txt::pymeshlab::add,dotkaio/pose-tracking-3d,copilot,pymeshlab,,S4_LICENSE_POLICY_CONFLICT,S5
dotkaio/pose-tracking-3d#3::requirements.txt::pyqt5::add,dotkaio/pose-tracking-3d,copilot,PyQt5,,S4_LICENSE_POLICY_CONFLICT,S5
davidmerchan50786/osint-lab-bot#1::requirements.txt::python-telegram-bot::add,davidmerchan50786/osint-lab-bot,copilot,python-telegram-bot,,S4_LICENSE_POLICY_CONFLICT,S5
Michael-me03/Demo-Dash#1::requirements.txt::psycopg2-binary::add,Michael-me03/Demo-Dash,copilot,psycopg2-binary,2.9.9,S4_LICENSE_POLICY_CONFLICT,S5
Michael-me03/Demo-Dash#1::requirements.txt::mysql-connector-python::add,Michael-me03/Demo-Dash,copilot,mysql-connector-python,9.1.0,S4_LICENSE_POLICY_CONFLICT,S5
btygd543/Telegroub-#6::requirements.txt::img2pdf::add,btygd543/Telegroub-,copilot,img2pdf,0.5.1,S4_LICENSE_POLICY_CONFLICT,S5
btygd543/Telegroub-#6::requirements.txt::kurigram::add,btygd543/Telegroub-,copilot,kurigram,2.2.12,S4_LICENSE_POLICY_CONFLICT,S5
btygd543/Telegroub-#6::requirements.txt::pyrogram::add,btygd543/Telegroub-,copilot,pyrogram,2.0.106,S4_LICENSE_POLICY_CONFLICT,S5
btygd543/Telegroub-#6::requirements.txt::tgcrypto::add,btygd543/Telegroub-,copilot,tgcrypto,1.2.5,S4_LICENSE_POLICY_CONFLICT,S5
Ajay-NooB143/alpha-gpt#6::requirements.txt::psycopg2-binary::add,Ajay-NooB143/alpha-gpt,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
ve-coder/Labor-25-26#2::requirements.txt::kociemba::add,ve-coder/Labor-25-26,copilot,kociemba,1.2.1,S4_LICENSE_POLICY_CONFLICT,S5
AllenInstitute/transcriptomic_clustering#142::requirements.txt::leidenalg::version_change,AllenInstitute/transcriptomic_clustering,copilot,leidenalg,,S4_LICENSE_POLICY_CONFLICT,S5
Senthil-Achievements/gendb#1::requirements.txt::psycopg2-binary::add,Senthil-Achievements/gendb,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
pedrofuentes85/curso#1::requirements.txt::pymupdf::add,pedrofuentes85/curso,copilot,PyMuPDF,,S4_LICENSE_POLICY_CONFLICT,S5
sohamda/aks-store-demo#77::src/ai-service/requirements.txt::pylint::version_change,sohamda/aks-store-demo,copilot,pylint,3.3.5,S4_LICENSE_POLICY_CONFLICT,S5
dmang69/LUXE#2::requirements.txt::psycopg2-binary::add,dmang69/LUXE,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
robofan45/v#4::requirements.txt::pyqt6::add,robofan45/v,copilot,PyQt6,,S4_LICENSE_POLICY_CONFLICT,S5
Hakaya35/UrbanEV#1::requirements.txt::patool::add,Hakaya35/UrbanEV,copilot,patool,,S4_LICENSE_POLICY_CONFLICT,S5
ed23s025/cricket-ball-tracking-#1::requirements.txt::ultralytics::add,ed23s025/cricket-ball-tracking-,copilot,ultralytics,,S4_LICENSE_POLICY_CONFLICT,S5
FmasterofU/minimal-uds-tester#1::requirements.txt::python-can::add,FmasterofU/minimal-uds-tester,copilot,python-can,,S4_LICENSE_POLICY_CONFLICT,S5
will-rice/denoisers#55::pyproject.toml::torchcodec::add,will-rice/denoisers,copilot,torchcodec,,S7_METADATA_MISSING,S2|S5
btygd543/Telegroub-#5::requirements.txt::tgcrypto::add,btygd543/Telegroub-,copilot,TgCrypto,,S4_LICENSE_POLICY_CONFLICT,S5
btygd543/Telegroub-#5::requirements.txt::img2pdf::add,btygd543/Telegroub-,copilot,img2pdf,,S4_LICENSE_POLICY_CONFLICT,S5
btygd543/Telegroub-#5::requirements.txt::kurigram::add,btygd543/Telegroub-,copilot,kurigram,2.2.12,S4_LICENSE_POLICY_CONFLICT,S5
MaloFARGEAS/Olmo_OCR_prototype#1::requirements.txt::pymupdf::add,MaloFARGEAS/Olmo_OCR_prototype,copilot,pymupdf,,S4_LICENSE_POLICY_CONFLICT,S5
HarbyT/proyecto-gestion-cotizacion-huellas#2::backend/requirements.txt::mysqlclient::add,HarbyT/proyecto-gestion-cotizacion-huellas,copilot,mysqlclient,2.2.0,S4_LICENSE_POLICY_CONFLICT,S5
ahmedghabara90-byte/finale_asd2#1::api/requirements.txt::psycopg2-binary::add,ahmedghabara90-byte/finale_asd2,copilot,psycopg2-binary,2.9.9,S4_LICENSE_POLICY_CONFLICT,S5
