change_id,package_name,change_type,exclude_reason
hwmty100131-hash/nbnb-#3::requirements.txt::socket::remove,socket,remove,stdlib_or_not_a_package
victoriafdz/PyCIL2#2::requirements.txt::pot::add,POT,add,allcaps_constant
riteshlokeshreddy/auxetic-tank-generator#1::requirements.txt::ocp::version_change,OCP,version_change,allcaps_constant
prathamc00/DeepGuard#1::requirements.txt::uuid::remove,uuid,remove,stdlib_or_not_a_package
hannesmitterer/LexAmoris#6::requirements.txt::asyncio::add,asyncio,add,stdlib_or_not_a_package
pilzcarlos-rgb/Normas-APS-IA#2::requirements.txt::sqlite3::add,sqlite3,add,stdlib_or_not_a_package
pySTEPS/pysteps#527::requirements_dev.txt::python::remove,python,remove,stdlib_or_not_a_package
zwfzwfswt/bohai_sdb#1::requirements.txt::sqlite3::add,sqlite3,add,stdlib_or_not_a_package
ingehap/intro-to-python#1::requirements.txt::sqlite3::remove,sqlite3,remove,stdlib_or_not_a_package
zwfzwfswt/bohai_sdb#2::requirements.txt::sqlite3::add,sqlite3,add,stdlib_or_not_a_package
kalyandinavahi0809/kalyandinavahi0809#1::requirements.txt::python::add,python,add,stdlib_or_not_a_package
Yaakovyitzchak1231/AI-Voice-Clone-with-Coqui-XTTS-v2#2::pyproject.toml::tts::add,TTS,add,allcaps_constant
Yaakovyitzchak1231/AI-Voice-Clone-with-Coqui-XTTS-v2#2::requirements.txt::tts::add,TTS,add,allcaps_constant
Yaakovyitzchak1231/AI-Voice-Clone-with-Coqui-XTTS-v2#2::setup.py::tts::add,TTS,add,allcaps_constant
aio-it/mmchatgpt#99::requirements.txt::asyncio::version_change,asyncio,version_change,stdlib_or_not_a_package
aio-it/mmchatgpt#92::requirements.txt::asyncio::version_change,asyncio,version_change,stdlib_or_not_a_package
MatiGoldman/intro-to-statistical-learning#1::requirements.txt::islp::add,ISLP,add,allcaps_constant
Itsmesrinu/AI-POWERED-MEDICARE-CHATBOT#2::requirements.txt::pip::remove,pip,remove,stdlib_or_not_a_package
choudhurykverve-code/task_manager_cli#4::requirements.txt::pathlib::remove,pathlib,remove,stdlib_or_not_a_package
thonda28/superset#27::pyproject.toml::pip::add,pip,add,stdlib_or_not_a_package
thonda28/superset#27::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
tadashi0713/superset#1::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
kellyneil098/superset#183::pyproject.toml::pip::add,pip,add,stdlib_or_not_a_package
kellyneil098/superset#183::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
noufalsoghyar/superset#26::pyproject.toml::pip::add,pip,add,stdlib_or_not_a_package
noufalsoghyar/superset#26::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
Abhijit85/superset#46::pyproject.toml::pip::add,pip,add,stdlib_or_not_a_package
Abhijit85/superset#46::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
LuaxY/superset#14::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
Abhijit85/superset#39::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
coledemeulemeester/superset#37::pyproject.toml::pip::add,pip,add,stdlib_or_not_a_package
coledemeulemeester/superset#37::requirements/development.txt::pip::version_change,pip,version_change,stdlib_or_not_a_package
Skater1808/gemini-live-jarvis-German#7::aegis_x_enterprise/setup.py::command-timeout::add,COMMAND_TIMEOUT,add,allcaps_constant
Skater1808/gemini-live-jarvis-German#7::aegis_x_enterprise/setup.py::max-iterations::add,MAX_ITERATIONS,add,allcaps_constant
Skater1808/gemini-live-jarvis-German#7::aegis_x_enterprise/setup.py::max-healing-attempts::add,MAX_HEALING_ATTEMPTS,add,allcaps_constant
Skater1808/gemini-live-jarvis-German#7::aegis_x_enterprise/setup.py::host::add,HOST,add,allcaps_constant
Skater1808/gemini-live-jarvis-German#7::aegis_x_enterprise/setup.py::port::add,PORT,add,allcaps_constant
Skater1808/gemini-live-jarvis-German#7::aegis_x_enterprise/setup.py::log-level::add,LOG_LEVEL,add,allcaps_constant
akepo225/offline-coding-agent#13::requirements.txt::sqlite3::remove,sqlite3,remove,stdlib_or_not_a_package
ursisterbtw/markdown_lab#15::requirements.txt::argparse::remove,argparse,remove,stdlib_or_not_a_package
ursisterbtw/markdown_lab#15::requirements.txt::pathlib::remove,pathlib,remove,stdlib_or_not_a_package
tosin2013/aider-lint-fixer#92::requirements.in::subprocess-run::add,subprocess.run,add,stdlib_or_not_a_package
akepo225/offline-coding-agent#14::requirements.txt::sqlite3::remove,sqlite3,remove,stdlib_or_not_a_package
FOSSBots/MirahezeBots#243::requirements.txt::configparser::remove,configparser,remove,stdlib_or_not_a_package
