change_id,pr_id,repo,created_at,package_name,pinned_version,change_type,label_primary,label_secondary,label_confidence,evidence_source,evidence_note
kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::django::add,kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,2026-06-09T14:15:14Z,Django,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::djangorestframework::add,kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,2026-06-09T14:15:14Z,djangorestframework,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::django-redis::add,kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,2026-06-09T14:15:14Z,django-redis,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::django-environ::add,kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,2026-06-09T14:15:14Z,django-environ,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::python-dotenv::add,kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,2026-06-09T14:15:14Z,python-dotenv,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
Juandb21/club1997#1::requirements.txt::django::add,Juandb21/club1997#1,Juandb21/club1997,2026-05-05T15:46:33Z,Django,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
Juandb21/club1997#1::requirements.txt::pillow::add,Juandb21/club1997#1,Juandb21/club1997,2026-05-05T15:46:33Z,Pillow,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
aiporre/hippo-spharm#1::requirements.txt::numpy::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,numpy,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
aiporre/hippo-spharm#1::requirements.txt::pandas::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,pandas,,add,NONE,S4_LICENSE_POLICY_CONFLICT,high,live_pypi_osv(labeler_B),copyleft license token 'gpl'
aiporre/hippo-spharm#1::requirements.txt::scipy::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,scipy,,add,NONE,S4_LICENSE_POLICY_CONFLICT,high,live_pypi_osv(labeler_B),copyleft license token 'gpl'
aiporre/hippo-spharm#1::requirements.txt::matplotlib::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,matplotlib,,add,NONE,S4_LICENSE_POLICY_CONFLICT,high,live_pypi_osv(labeler_B),copyleft license token 'gpl'
aiporre/hippo-spharm#1::requirements.txt::scikit-image::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,scikit-image,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
aiporre/hippo-spharm#1::requirements.txt::nibabel::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,nibabel,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
aiporre/hippo-spharm#1::requirements.txt::simpleitk::add,aiporre/hippo-spharm#1,aiporre/hippo-spharm,2026-02-25T15:43:59Z,SimpleITK,,add,NONE,NONE,high,live_pypi_osv(labeler_B),no risk evidence found
