pr_id,pr_url,repo_full_name,agent,created_at,merged_at,n_dependency_changes,pr_type,manifest_paths,tool_evidence
kaggwe-marvin/Django-Inventory-tracker#1,https://github.com/kaggwe-marvin/Django-Inventory-tracker/pull/1,kaggwe-marvin/Django-Inventory-tracker,copilot,2026-06-09T14:15:14Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Juandb21/club1997#1,https://github.com/Juandb21/club1997/pull/1,Juandb21/club1997,copilot,2026-05-05T15:46:33Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
aiporre/hippo-spharm#1,https://github.com/aiporre/hippo-spharm/pull/1,aiporre/hippo-spharm,copilot,2026-02-25T15:43:59Z,,14,new_runtime_dependency,requirements.txt,aidev_agent:copilot
scieloorg/xylose#205,https://github.com/scieloorg/xylose/pull/205,scieloorg/xylose,copilot,2026-04-27T18:08:16Z,,1,version_change_only,setup.py,aidev_agent:copilot
nickeldone/invoice-api#79,https://github.com/nickeldone/invoice-api/pull/79,nickeldone/invoice-api,copilot,2026-04-11T00:18:24Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
nickeldone/invoice-api#84,https://github.com/nickeldone/invoice-api/pull/84,nickeldone/invoice-api,copilot,2026-04-11T00:35:45Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
nickeldone/invoice-api#83,https://github.com/nickeldone/invoice-api/pull/83,nickeldone/invoice-api,copilot,2026-04-11T00:33:14Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
nickeldone/invoice-api#80,https://github.com/nickeldone/invoice-api/pull/80,nickeldone/invoice-api,copilot,2026-04-11T00:23:08Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
nickeldone/invoice-api#95,https://github.com/nickeldone/invoice-api/pull/95,nickeldone/invoice-api,copilot,2026-04-11T10:50:38Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
yohei-takahashi/20260417-githubcopilot#14,https://github.com/yohei-takahashi/20260417-githubcopilot/pull/14,yohei-takahashi/20260417-githubcopilot,copilot,2026-04-17T07:43:42Z,,2,new_runtime_dependency,1.pomodoro/requirements.txt,aidev_agent:copilot
